C:\Users\pindus\Desktop\SITLess_Data\EXP1\COG\DURING\1B\SL001\SL001_N1N6D1A.edat3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,BlockID,Clock.Information,CogSeq,Condition,DataFile.Basename,Day,ExperimentVersion,Group,Hits.Mean,Hits.StdDevP,Instructions,NB,NonTargetAcc.Mean,NonTargetAcc.StdDevP,OnebackLureCounter,OverallACC,Participant.RefreshRate,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,TIMING,Total_Ommision_Error,TotalComissionErrors,TwobackLureCounter,Welcome.DEVICE,Block,BlockList,BlockList.Cycle,BlockList.Sample,Procedure[Block],Running[Block],Trial,BlockTrialList,BlockTrialList.Cycle,BlockTrialList.Sample,BreakMessage,BreakMessage.DEVICE,GetReady.DEVICE,Practice,Procedure[Trial],Running[Trial],SubTrial,CorrectResp,CurrentLetters,HitsComissionErrors,HitsOmissions,IncorrectResp,Letter,NonTargetComissionErrors,NonTargetOmissions,Procedure[SubTrial],Running[SubTrial],Stimulus.ACC,Stimulus.CRESP,Stimulus.DEVICE,Stimulus.DurationError,Stimulus.OnsetDelay,Stimulus.OnsetTime,Stimulus.OnsetToOnsetTime,Stimulus.RESP,Stimulus.RT,Stimulus.RTTime,TrialList,TrialList.Cycle,TrialList.Sample,TrialType,Type
NB_DURING,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T14:17:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">2385216334619</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T14:17:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,1,SL001_N1N6D1A,6,1.0.0.786,1,100,0,Press SPACEBAR to begin.,1,100,0,0,100,59.987,1510057615,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 14:17,9:17:06,3.0.3.82,D1,0,0,3,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,1,1,,0,0,4,P,0,0,TrialProc,TrialList,1,1,Keyboard,0,72,2947334,516,1,795,2948129,1,2,1,NonTarget,11
NB_DURING,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T14:17:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">2385216334619</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T14:17:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,1,SL001_N1N6D1A,6,1.0.0.786,1,100,0,Press SPACEBAR to begin.,1,100,0,0,100,59.987,1510057615,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 14:17,9:17:06,3.0.3.82,D1,0,0,3,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,2,1,,0,0,4,K,0,0,TrialProc,TrialList,1,1,Keyboard,0,15,2950367,517,1,321,2950688,2,2,2,NonTarget,11
NB_DURING,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T14:17:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">2385216334619</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T14:17:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,1,SL001_N1N6D1A,6,1.0.0.786,1,100,0,Press SPACEBAR to begin.,1,100,0,0,100,59.987,1510057615,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 14:17,9:17:06,3.0.3.82,D1,0,0,3,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,3,1,,0,0,4,x,0,0,TrialProc,TrialList,1,1,Keyboard,0,31,2953417,517,1,435,2953852,3,2,3,NonTarget,11
NB_DURING,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T14:17:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">2385216334619</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T14:17:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,1,SL001_N1N6D1A,6,1.0.0.786,1,100,0,Press SPACEBAR to begin.,1,100,0,0,100,59.987,1510057615,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 14:17,9:17:06,3.0.3.82,D1,0,0,3,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,4,1,,0,0,4,p,0,0,TrialProc,TrialList,1,1,Keyboard,0,14,2956450,517,1,365,2956815,4,2,4,NonTarget,11
NB_DURING,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T14:17:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">2385216334619</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T14:17:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,1,SL001_N1N6D1A,6,1.0.0.786,1,100,0,Press SPACEBAR to begin.,1,100,0,0,100,59.987,1510057615,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 14:17,9:17:06,3.0.3.82,D1,0,0,3,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,5,1,,0,0,4,r,0,0,TrialProc,TrialList,1,1,Keyboard,0,15,2959484,516,1,403,2959887,5,2,5,NonTarget,11
NB_DURING,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T14:17:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">2385216334619</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T14:17:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,1,SL001_N1N6D1A,6,1.0.0.786,1,100,0,Press SPACEBAR to begin.,1,100,0,0,100,59.987,1510057615,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 14:17,9:17:06,3.0.3.82,D1,0,0,3,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,6,1,,0,0,4,f,0,0,TrialProc,TrialList,1,1,Keyboard,0,15,2962517,517,1,361,2962878,6,2,6,NonTarget,11
NB_DURING,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T14:17:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">2385216334619</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T14:17:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,1,SL001_N1N6D1A,6,1.0.0.786,1,100,0,Press SPACEBAR to begin.,1,100,0,0,100,59.987,1510057615,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 14:17,9:17:06,3.0.3.82,D1,0,0,3,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,7,1,,0,0,4,t,0,0,TrialProc,TrialList,1,1,Keyboard,0,14,2965550,517,1,332,2965882,7,2,7,NonTarget,11
NB_DURING,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T14:17:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">2385216334619</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T14:17:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,1,SL001_N1N6D1A,6,1.0.0.786,1,100,0,Press SPACEBAR to begin.,1,100,0,0,100,59.987,1510057615,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 14:17,9:17:06,3.0.3.82,D1,0,0,3,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,8,4,,0,0,1,t,0,0,TrialProc,TrialList,1,4,Keyboard,0,15,2968584,516,4,369,2968953,8,2,8,Target,44
NB_DURING,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T14:17:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">2385216334619</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T14:17:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,1,SL001_N1N6D1A,6,1.0.0.786,1,100,0,Press SPACEBAR to begin.,1,100,0,0,100,59.987,1510057615,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 14:17,9:17:06,3.0.3.82,D1,0,0,3,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,9,4,,0,0,1,t,0,0,TrialProc,TrialList,1,4,Keyboard,0,15,2971617,517,4,398,2972015,9,2,9,Target,44
NB_DURING,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T14:17:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">2385216334619</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T14:17:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,1,SL001_N1N6D1A,6,1.0.0.786,1,100,0,Press SPACEBAR to begin.,1,100,0,0,100,59.987,1510057615,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 14:17,9:17:06,3.0.3.82,D1,0,0,3,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,10,4,,0,0,1,t,0,0,TrialProc,TrialList,1,4,Keyboard,0,14,2974650,517,4,433,2975083,10,2,10,Target,44
