C:\Users\pindus\Desktop\SITLess_Data\EXP1\COG\DURING\2B\SL003\SL003_N2S6D1B.edat3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,BlockID,Clock.Information,CogSeq,Condition,DataFile.Basename,Day,ExperimentVersion,Group,Hits.Mean,Hits.StdDevP,NB,NonTargetAcc.Mean,NonTargetAcc.StdDevP,OnebackLureCounter,OverallACC,Participant.RefreshRate,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,TIMING,Total_Ommision_Error,TotalComissionErrors,TwobackLureCounter,Welcome.DEVICE,Block,BlockList,BlockList.Cycle,BlockList.Sample,Procedure[Block],Running[Block],Trial,BlockTrialList,BlockTrialList.Cycle,BlockTrialList.Sample,BreakMessage,BreakMessage.DEVICE,GetReady.DEVICE,Practice,Procedure[Trial],Running[Trial],SubTrial,CorrectResp,CurrentLetters,HitsComissionErrors,HitsOmissions,IncorrectResp,Letter,NonTargetComissionErrors,NonTargetOmissions,Procedure[SubTrial],Running[SubTrial],Stimulus.ACC,Stimulus.CRESP,Stimulus.DEVICE,Stimulus.DurationError,Stimulus.OnsetDelay,Stimulus.OnsetTime,Stimulus.OnsetToOnsetTime,Stimulus.RESP,Stimulus.RT,Stimulus.RTTime,TrialList,TrialList.Cycle,TrialList.Sample,TrialType,Type
NB_DURING,3,1,B,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T14:56:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">505409871295</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T14:56:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,2,SL003_N2S6D1B,6,1.0.0.786,1,75,0.433012702,2,100,0,0,92.31,59.986,-1395689987,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 14:56,9:56:30,3.0.3.82,D1,0,3,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,1,1,,0,0,4,k,0,0,TrialProc,TrialList,1,1,Keyboard,0,30,13702,517,1,447,14149,1,2,1,NonTarget,11
NB_DURING,3,1,B,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T14:56:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">505409871295</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T14:56:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,2,SL003_N2S6D1B,6,1.0.0.786,1,75,0.433012702,2,100,0,0,92.31,59.986,-1395689987,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 14:56,9:56:30,3.0.3.82,D1,0,3,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,2,1,,0,0,4,P,0,0,TrialProc,TrialList,1,1,Keyboard,0,15,16736,516,1,415,17151,2,2,2,NonTarget,11
NB_DURING,3,1,B,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T14:56:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">505409871295</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T14:56:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,2,SL003_N2S6D1B,6,1.0.0.786,1,75,0.433012702,2,100,0,0,92.31,59.986,-1395689987,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 14:56,9:56:30,3.0.3.82,D1,0,3,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,3,1,,0,0,4,b,0,0,TrialProc,TrialList,1,1,Keyboard,0,15,19769,517,1,388,20157,3,2,3,NonTarget,11
NB_DURING,3,1,B,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T14:56:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">505409871295</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T14:56:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,2,SL003_N2S6D1B,6,1.0.0.786,1,75,0.433012702,2,100,0,0,92.31,59.986,-1395689987,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 14:56,9:56:30,3.0.3.82,D1,0,3,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,4,1,,0,0,4,K,0,0,TrialProc,TrialList,1,1,Keyboard,0,14,22802,517,1,600,23402,4,2,4,NonTarget,11
NB_DURING,3,1,B,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T14:56:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">505409871295</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T14:56:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,2,SL003_N2S6D1B,6,1.0.0.786,1,75,0.433012702,2,100,0,0,92.31,59.986,-1395689987,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 14:56,9:56:30,3.0.3.82,D1,0,3,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,5,1,,0,0,4,p,0,0,TrialProc,TrialList,1,1,Keyboard,0,15,25836,516,1,355,26191,5,2,5,NonTarget,11
NB_DURING,3,1,B,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T14:56:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">505409871295</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T14:56:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,2,SL003_N2S6D1B,6,1.0.0.786,1,75,0.433012702,2,100,0,0,92.31,59.986,-1395689987,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 14:56,9:56:30,3.0.3.82,D1,0,3,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,6,4,,0,0,1,K,0,0,TrialProc,TrialList,1,4,Keyboard,0,15,28869,517,4,830,29699,6,2,6,Target,44
NB_DURING,3,1,B,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T14:56:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">505409871295</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T14:56:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,2,SL003_N2S6D1B,6,1.0.0.786,1,75,0.433012702,2,100,0,0,92.31,59.986,-1395689987,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 14:56,9:56:30,3.0.3.82,D1,0,3,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,7,1,,0,0,4,X,0,0,TrialProc,TrialList,1,1,Keyboard,0,14,31902,517,1,494,32396,7,2,7,NonTarget,11
NB_DURING,3,1,B,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T14:56:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">505409871295</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T14:56:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,2,SL003_N2S6D1B,6,1.0.0.786,1,75,0.433012702,2,100,0,0,92.31,59.986,-1395689987,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 14:56,9:56:30,3.0.3.82,D1,0,3,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,8,1,,0,0,4,c,0,0,TrialProc,TrialList,1,1,Keyboard,0,15,34936,516,1,447,35383,8,2,8,NonTarget,11
NB_DURING,3,1,B,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T14:56:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">505409871295</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T14:56:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,2,SL003_N2S6D1B,6,1.0.0.786,1,75,0.433012702,2,100,0,0,92.31,59.986,-1395689987,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 14:56,9:56:30,3.0.3.82,D1,0,3,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,9,1,,0,0,4,r,0,0,TrialProc,TrialList,1,1,Keyboard,0,15,37969,517,1,372,38341,9,2,9,NonTarget,11
NB_DURING,3,1,B,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T14:56:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">505409871295</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T14:56:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,2,SL003_N2S6D1B,6,1.0.0.786,1,75,0.433012702,2,100,0,0,92.31,59.986,-1395689987,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 14:56,9:56:30,3.0.3.82,D1,0,3,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,10,1,,0,0,4,f,0,0,TrialProc,TrialList,1,1,Keyboard,0,15,41003,516,1,388,41391,10,2,10,NonTarget,11
