C:\Users\pindus\Desktop\SITLess_Data\EXP1\COG\DURING\1B\SL001\SL001_N1N6D3A.edat3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,BlockID,Clock.Information,CogSeq,Condition,DataFile.Basename,Day,ExperimentVersion,Group,Hits.Mean,Hits.StdDevP,Instructions,NB,NonTargetAcc.Mean,NonTargetAcc.StdDevP,OnebackLureCounter,OverallACC,Participant.RefreshRate,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,TIMING,Total_Ommision_Error,TotalComissionErrors,TwobackLureCounter,Welcome.DEVICE,Block,BlockList,BlockList.Cycle,BlockList.Sample,Procedure[Block],Running[Block],Trial,BlockTrialList,BlockTrialList.Cycle,BlockTrialList.Sample,BreakMessage,BreakMessage.DEVICE,GetReady.DEVICE,Practice,Procedure[Trial],Running[Trial],SubTrial,CorrectResp,CurrentLetters,HitsComissionErrors,HitsOmissions,IncorrectResp,Letter,NonTargetComissionErrors,NonTargetOmissions,Procedure[SubTrial],Running[SubTrial],Stimulus.ACC,Stimulus.CRESP,Stimulus.DEVICE,Stimulus.DurationError,Stimulus.OnsetDelay,Stimulus.OnsetTime,Stimulus.OnsetToOnsetTime,Stimulus.RESP,Stimulus.RT,Stimulus.RTTime,TrialList,TrialList.Cycle,TrialList.Sample,TrialType,Type
NB_DURING,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T16:04:44Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">2403531886278</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T16:04:44Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,1,SL001_N1N6D3A,6,1.0.0.786,1,91.67,0.276385399,Press SPACEBAR to begin.,1,100,0,0,97.44,59.986,-1649296347,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 16:04,11:04:44,3.0.3.82,D3,0,1,1,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,1,1,,0,0,4,S,0,0,TrialProc,TrialList,1,1,Keyboard,0,32,16016,516,1,968,16984,1,2,1,NonTarget,11
NB_DURING,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T16:04:44Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">2403531886278</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T16:04:44Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,1,SL001_N1N6D3A,6,1.0.0.786,1,91.67,0.276385399,Press SPACEBAR to begin.,1,100,0,0,97.44,59.986,-1649296347,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 16:04,11:04:44,3.0.3.82,D3,0,1,1,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,2,1,,0,0,4,f,0,0,TrialProc,TrialList,1,1,Keyboard,0,32,19066,516,1,330,19396,2,2,2,NonTarget,11
NB_DURING,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T16:04:44Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">2403531886278</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T16:04:44Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,1,SL001_N1N6D3A,6,1.0.0.786,1,91.67,0.276385399,Press SPACEBAR to begin.,1,100,0,0,97.44,59.986,-1649296347,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 16:04,11:04:44,3.0.3.82,D3,0,1,1,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,3,1,,0,0,4,k,0,0,TrialProc,TrialList,1,1,Keyboard,0,15,22099,517,1,285,22384,3,2,3,NonTarget,11
NB_DURING,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T16:04:44Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">2403531886278</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T16:04:44Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,1,SL001_N1N6D3A,6,1.0.0.786,1,91.67,0.276385399,Press SPACEBAR to begin.,1,100,0,0,97.44,59.986,-1649296347,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 16:04,11:04:44,3.0.3.82,D3,0,1,1,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,4,1,,0,0,4,x,0,0,TrialProc,TrialList,1,1,Keyboard,0,14,25132,517,1,489,25621,4,2,4,NonTarget,11
NB_DURING,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T16:04:44Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">2403531886278</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T16:04:44Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,1,SL001_N1N6D3A,6,1.0.0.786,1,91.67,0.276385399,Press SPACEBAR to begin.,1,100,0,0,97.44,59.986,-1649296347,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 16:04,11:04:44,3.0.3.82,D3,0,1,1,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,5,1,,0,0,4,C,0,0,TrialProc,TrialList,1,1,Keyboard,0,15,28166,516,1,350,28516,5,2,5,NonTarget,11
NB_DURING,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T16:04:44Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">2403531886278</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T16:04:44Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,1,SL001_N1N6D3A,6,1.0.0.786,1,91.67,0.276385399,Press SPACEBAR to begin.,1,100,0,0,97.44,59.986,-1649296347,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 16:04,11:04:44,3.0.3.82,D3,0,1,1,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,6,1,,0,0,4,B,0,0,TrialProc,TrialList,1,1,Keyboard,0,15,31199,517,1,347,31546,6,2,6,NonTarget,11
NB_DURING,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T16:04:44Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">2403531886278</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T16:04:44Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,1,SL001_N1N6D3A,6,1.0.0.786,1,91.67,0.276385399,Press SPACEBAR to begin.,1,100,0,0,97.44,59.986,-1649296347,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 16:04,11:04:44,3.0.3.82,D3,0,1,1,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,7,1,,0,0,4,C,0,0,TrialProc,TrialList,1,1,Keyboard,0,15,34233,516,1,279,34512,7,2,7,NonTarget,11
NB_DURING,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T16:04:44Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">2403531886278</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T16:04:44Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,1,SL001_N1N6D3A,6,1.0.0.786,1,91.67,0.276385399,Press SPACEBAR to begin.,1,100,0,0,97.44,59.986,-1649296347,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 16:04,11:04:44,3.0.3.82,D3,0,1,1,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,8,4,,0,0,1,c,0,0,TrialProc,TrialList,1,4,Keyboard,0,15,37266,517,4,304,37570,8,2,8,Target,44
NB_DURING,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T16:04:44Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">2403531886278</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T16:04:44Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,1,SL001_N1N6D3A,6,1.0.0.786,1,91.67,0.276385399,Press SPACEBAR to begin.,1,100,0,0,97.44,59.986,-1649296347,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 16:04,11:04:44,3.0.3.82,D3,0,1,1,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,9,1,,0,0,4,b,0,0,TrialProc,TrialList,1,1,Keyboard,0,14,40299,517,1,311,40610,9,2,9,NonTarget,11
NB_DURING,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T16:04:44Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835939</Frequency><Timestamp dt:dt=""r8"">2403531886278</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T16:04:44Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,1,SL001_N1N6D3A,6,1.0.0.786,1,91.67,0.276385399,Press SPACEBAR to begin.,1,100,0,0,97.44,59.986,-1649296347,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 16:04,11:04:44,3.0.3.82,D3,0,1,1,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,10,1,,0,0,4,s,0,0,TrialProc,TrialList,1,1,Keyboard,0,15,43333,516,1,403,43736,10,2,10,NonTarget,11
