C:\Users\pindus\Desktop\SITLess_Data\EXP1\COG\POST\FC\SL003\SL003_FCS6AA.edat3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,BlockID,Clock.Information,CogSeq,DataFile.Basename,Day,ExperimentVersion,Group,Participant.RefreshRate,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,ThankYou.DEVICE,Timing,Welcome.DEVICE,Welcome.DurationError,Welcome.OnsetDelay,Welcome.OnsetTime,Welcome.OnsetToOnsetTime,Block,BlockList,BlockList.Cycle,BlockList.Sample,Procedure[Block],Running[Block],Trial,Condition,CongAcc,CongRT,CorrectAnswer,InconAcc,InconRT,ITI,Omissions,OverallACC,OverallRT,Procedure[Trial],Running[Trial],Stimulus,Stimulus.ACC,Stimulus.CRESP,Stimulus.DEVICE,Stimulus.DurationError,Stimulus.OnsetDelay,Stimulus.OnsetTime,Stimulus.OnsetToOnsetTime,Stimulus.RESP,Stimulus.RT,Stimulus.RTTime,TrialList,TrialList.Cycle,TrialList.Sample,TrialType
FC,3,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T17:54:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13751062443343</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T17:54:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,SL003_FCS6AA,6,1.0.0.262,1,143.998,-1420154225,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 17:54,12:54:23,3.0.3.82,Keyboard,A,Keyboard,-999999,15,27870,0,1,1,1,1,BlockProc,BlockList,1,213,,,4,1,519,1698,,1,519,TrialProc,TrialList,flankerIR.jpg,1,4,Keyboard,2,43,63257,160,4,519,63776,9,1,1,Incon
FC,3,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T17:54:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13751062443343</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T17:54:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,SL003_FCS6AA,6,1.0.0.262,1,143.998,-1420154225,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 17:54,12:54:23,3.0.3.82,Keyboard,A,Keyboard,-999999,15,27870,0,1,1,1,1,BlockProc,BlockList,2,121,1,422,1,,,1302,,1,470.5,TrialProc,TrialList,flankerCL.jpg,1,1,Keyboard,2,17,65132,160,1,422,65554,4,1,2,Cong
FC,3,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T17:54:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13751062443343</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T17:54:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,SL003_FCS6AA,6,1.0.0.262,1,143.998,-1420154225,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 17:54,12:54:23,3.0.3.82,Keyboard,A,Keyboard,-999999,15,27870,0,1,1,1,1,BlockProc,BlockList,3,113,1,409,4,,,1698,,1,445.6666667,TrialProc,TrialList,flankerCR.jpg,1,4,Keyboard,3,17,66611,160,4,396,67007,3,1,3,Cong
FC,3,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T17:54:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13751062443343</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T17:54:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,SL003_FCS6AA,6,1.0.0.262,1,143.998,-1420154225,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 17:54,12:54:23,3.0.3.82,Keyboard,A,Keyboard,-999999,15,27870,0,1,1,1,1,BlockProc,BlockList,4,121,1,358.6666667,1,,,1302,,1,398.75,TrialProc,TrialList,flankerCL.jpg,1,1,Keyboard,3,17,68486,160,1,258,68744,4,1,4,Cong
FC,3,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T17:54:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13751062443343</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T17:54:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,SL003_FCS6AA,6,1.0.0.262,1,143.998,-1420154225,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 17:54,12:54:23,3.0.3.82,Keyboard,A,Keyboard,-999999,15,27870,0,1,1,1,1,BlockProc,BlockList,5,112,1,339.75,4,,,1500,,1,375.6,TrialProc,TrialList,flankerCR.jpg,1,4,Keyboard,3,17,69965,160,4,283,70248,2,1,5,Cong
FC,3,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T17:54:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13751062443343</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T17:54:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,SL003_FCS6AA,6,1.0.0.262,1,143.998,-1420154225,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 17:54,12:54:23,3.0.3.82,Keyboard,A,Keyboard,-999999,15,27870,0,1,1,1,1,BlockProc,BlockList,6,222,,,1,1,457.5,1500,,1,379,TrialProc,TrialList,flankerIL.jpg,1,1,Keyboard,2,14,71639,167,1,396,72035,11,1,6,Incon
FC,3,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T17:54:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13751062443343</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T17:54:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,SL003_FCS6AA,6,1.0.0.262,1,143.998,-1420154225,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 17:54,12:54:23,3.0.3.82,Keyboard,A,Keyboard,-999999,15,27870,0,1,1,1,1,BlockProc,BlockList,7,223,,,1,1,444,1698,,1,384.4285714,TrialProc,TrialList,flankerIL.jpg,1,1,Keyboard,3,13,73319,160,1,417,73736,12,1,7,Incon
FC,3,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T17:54:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13751062443343</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T17:54:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,SL003_FCS6AA,6,1.0.0.262,1,143.998,-1420154225,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 17:54,12:54:23,3.0.3.82,Keyboard,A,Keyboard,-999999,15,27870,0,1,1,1,1,BlockProc,BlockList,8,113,1,339.2,4,,,1698,,1,378.5,TrialProc,TrialList,flankerCR.jpg,1,4,Keyboard,3,10,75187,160,4,337,75524,3,1,8,Cong
FC,3,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T17:54:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13751062443343</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T17:54:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,SL003_FCS6AA,6,1.0.0.262,1,143.998,-1420154225,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 17:54,12:54:23,3.0.3.82,Keyboard,A,Keyboard,-999999,15,27870,0,1,1,1,1,BlockProc,BlockList,9,123,1,339,1,,,1698,,1,374,TrialProc,TrialList,flankerCL.jpg,1,1,Keyboard,3,17,77062,160,1,338,77400,6,1,9,Cong
FC,3,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T17:54:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13751062443343</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T17:54:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,SL003_FCS6AA,6,1.0.0.262,1,143.998,-1420154225,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 17:54,12:54:23,3.0.3.82,Keyboard,A,Keyboard,-999999,15,27870,0,1,1,1,1,BlockProc,BlockList,10,123,1,341,1,,,1698,,1,371.9,TrialProc,TrialList,flankerCL.jpg,1,1,Keyboard,2,17,78937,160,1,353,79290,6,1,10,Cong
