C:\Users\pindus\Desktop\SITLess_Data\EXP1\COG\POST\2B\SL001\SL001_2B6AD.edat3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,BlockID,Clock.Information,Condition,DataFile.Basename,Day,ExperimentVersion,Group,Hits.Mean,Hits.StdDevP,NB,NonTargetAcc.Mean,NonTargetAcc.StdDevP,OnebackLureCounter,OverallACC,Participant.RefreshRate,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Timing,Total_Ommision_Error,TotalComissionErrors,TwobackLureCounter,Welcome.DEVICE,Block,BlockList,BlockList.Cycle,BlockList.Sample,Procedure[Block],Running[Block],Trial,BlockTrialList,BlockTrialList.Cycle,BlockTrialList.Sample,BreakMessage,BreakMessage.DEVICE,GetReady.DEVICE,Practice,Procedure[Trial],Running[Trial],SubTrial,CorrectResp,CurrentLetters,HitsComissionErrors,HitsOmissions,IncorrectResp,Letter,NonTargetComissionErrors,NonTargetOmissions,Procedure[SubTrial],Running[SubTrial],Stimulus.ACC,Stimulus.CRESP,Stimulus.DEVICE,Stimulus.DurationError,Stimulus.OnsetDelay,Stimulus.OnsetTime,Stimulus.OnsetToOnsetTime,Stimulus.RESP,Stimulus.RT,Stimulus.RTTime,TrialList,TrialList.Cycle,TrialList.Sample,TrialType,Type
NB_update,1,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T18:37:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5277130546669</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T18:37:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL001_2B6AD,6,1.0.0.787,1,91.67,0.276385399,2,100,0,3,97.44,143.937,-1381567649,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 18:37,13:37:12,3.0.3.82,A,0,1,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,1,1,,0,0,4,C,0,0,TrialProc,TrialList,1,1,Keyboard,0,25,56662,514,1,456,57118,1,2,1,NonTarget,110
NB_update,1,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T18:37:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5277130546669</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T18:37:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL001_2B6AD,6,1.0.0.787,1,91.67,0.276385399,2,100,0,3,97.44,143.937,-1381567649,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 18:37,13:37:12,3.0.3.82,A,0,1,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,2,1,,0,0,4,R,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,59697,514,1,245,59942,2,2,2,NonTarget,110
NB_update,1,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T18:37:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5277130546669</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T18:37:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL001_2B6AD,6,1.0.0.787,1,91.67,0.276385399,2,100,0,3,97.44,143.937,-1381567649,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 18:37,13:37:12,3.0.3.82,A,0,1,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,3,1,,0,0,4,F,0,0,TrialProc,TrialList,1,1,Keyboard,0,18,62731,514,1,274,63005,3,2,3,NonTarget,110
NB_update,1,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T18:37:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5277130546669</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T18:37:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL001_2B6AD,6,1.0.0.787,1,91.67,0.276385399,2,100,0,3,97.44,143.937,-1381567649,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 18:37,13:37:12,3.0.3.82,A,0,1,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,4,4,,1,0,1,R,0,0,TrialProc,TrialList,0,4,Keyboard,0,19,65766,514,1,294,66060,4,2,4,Target,440
NB_update,1,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T18:37:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5277130546669</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T18:37:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL001_2B6AD,6,1.0.0.787,1,91.67,0.276385399,2,100,0,3,97.44,143.937,-1381567649,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 18:37,13:37:12,3.0.3.82,A,0,1,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,5,1,,1,0,4,T,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,68801,514,1,311,69112,5,2,5,NonTarget,110
NB_update,1,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T18:37:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5277130546669</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T18:37:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL001_2B6AD,6,1.0.0.787,1,91.67,0.276385399,2,100,0,3,97.44,143.937,-1381567649,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 18:37,13:37:12,3.0.3.82,A,0,1,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,6,1,,1,0,4,f,0,0,TrialProc,TrialList,1,1,Keyboard,0,18,71835,514,1,369,72204,6,2,6,NonTarget,113
NB_update,1,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T18:37:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5277130546669</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T18:37:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL001_2B6AD,6,1.0.0.787,1,91.67,0.276385399,2,100,0,3,97.44,143.937,-1381567649,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 18:37,13:37:12,3.0.3.82,A,0,1,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,7,4,,1,0,1,t,0,0,TrialProc,TrialList,1,4,Keyboard,0,19,74870,514,4,464,75334,7,2,7,Target,440
NB_update,1,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T18:37:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5277130546669</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T18:37:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL001_2B6AD,6,1.0.0.787,1,91.67,0.276385399,2,100,0,3,97.44,143.937,-1381567649,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 18:37,13:37:12,3.0.3.82,A,0,1,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,8,1,,1,0,4,t,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,77905,513,1,719,78624,8,2,8,NonTarget,111
NB_update,1,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T18:37:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5277130546669</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T18:37:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL001_2B6AD,6,1.0.0.787,1,91.67,0.276385399,2,100,0,3,97.44,143.937,-1381567649,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 18:37,13:37:12,3.0.3.82,A,0,1,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,9,1,,1,0,4,k,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,80939,514,1,416,81355,9,2,9,NonTarget,110
NB_update,1,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T18:37:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5277130546669</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T18:37:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL001_2B6AD,6,1.0.0.787,1,91.67,0.276385399,2,100,0,3,97.44,143.937,-1381567649,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 18:37,13:37:12,3.0.3.82,A,0,1,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,10,1,,1,0,4,f,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,83974,514,1,436,84410,10,2,10,NonTarget,110
