C:\Users\pindus\Desktop\SITLess_Data\EXP1\COG\POST\2B\SL003\SL003_2B6AD.edat3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,BlockID,Clock.Information,Condition,DataFile.Basename,Day,ExperimentVersion,Group,Hits.Mean,Hits.StdDevP,NB,NonTargetAcc.Mean,NonTargetAcc.StdDevP,OnebackLureCounter,OverallACC,Participant.RefreshRate,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Timing,Total_Ommision_Error,TotalComissionErrors,TwobackLureCounter,Welcome.DEVICE,Block,BlockList,BlockList.Cycle,BlockList.Sample,Procedure[Block],Running[Block],Trial,BlockTrialList,BlockTrialList.Cycle,BlockTrialList.Sample,BreakMessage,BreakMessage.DEVICE,GetReady.DEVICE,Practice,Procedure[Trial],Running[Trial],SubTrial,CorrectResp,CurrentLetters,HitsComissionErrors,HitsOmissions,IncorrectResp,Letter,NonTargetComissionErrors,NonTargetOmissions,Procedure[SubTrial],Running[SubTrial],Stimulus.ACC,Stimulus.CRESP,Stimulus.DEVICE,Stimulus.DurationError,Stimulus.OnsetDelay,Stimulus.OnsetTime,Stimulus.OnsetToOnsetTime,Stimulus.RESP,Stimulus.RT,Stimulus.RTTime,TrialList,TrialList.Cycle,TrialList.Sample,TrialType,Type
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T18:13:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13762655148694</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T18:13:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B6AD,6,1.0.0.787,1,75,0.433012702,2,96.3,0.188852575,1,89.74,143.929,1582530546,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 18:13,13:13:42,3.0.3.82,A,0,4,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,1,1,,0,0,4,X,0,0,TrialProc,TrialList,1,1,Keyboard,0,24,49073,514,1,409,49482,1,2,1,NonTarget,110
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T18:13:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13762655148694</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T18:13:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B6AD,6,1.0.0.787,1,75,0.433012702,2,96.3,0.188852575,1,89.74,143.929,1582530546,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 18:13,13:13:42,3.0.3.82,A,0,4,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,2,1,,0,0,4,F,0,0,TrialProc,TrialList,1,1,Keyboard,0,18,52107,514,1,479,52586,2,2,2,NonTarget,110
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T18:13:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13762655148694</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T18:13:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B6AD,6,1.0.0.787,1,75,0.433012702,2,96.3,0.188852575,1,89.74,143.929,1582530546,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 18:13,13:13:42,3.0.3.82,A,0,4,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,3,1,,0,0,4,R,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,55142,514,1,411,55553,3,2,3,NonTarget,110
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T18:13:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13762655148694</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T18:13:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B6AD,6,1.0.0.787,1,75,0.433012702,2,96.3,0.188852575,1,89.74,143.929,1582530546,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 18:13,13:13:42,3.0.3.82,A,0,4,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,4,1,,0,0,4,T,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,58177,513,1,371,58548,4,2,4,NonTarget,110
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T18:13:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13762655148694</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T18:13:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B6AD,6,1.0.0.787,1,75,0.433012702,2,96.3,0.188852575,1,89.74,143.929,1582530546,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 18:13,13:13:42,3.0.3.82,A,0,4,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,5,4,,0,0,1,R,0,0,TrialProc,TrialList,1,4,Keyboard,0,19,61211,514,4,654,61865,5,2,5,Target,440
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T18:13:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13762655148694</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T18:13:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B6AD,6,1.0.0.787,1,75,0.433012702,2,96.3,0.188852575,1,89.74,143.929,1582530546,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 18:13,13:13:42,3.0.3.82,A,0,4,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,6,1,,0,0,4,s,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,64246,514,1,383,64629,6,2,6,NonTarget,110
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T18:13:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13762655148694</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T18:13:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B6AD,6,1.0.0.787,1,75,0.433012702,2,96.3,0.188852575,1,89.74,143.929,1582530546,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 18:13,13:13:42,3.0.3.82,A,0,4,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,7,4,,0,0,1,R,0,0,TrialProc,TrialList,1,4,Keyboard,0,18,67280,514,4,496,67776,7,2,7,Target,440
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T18:13:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13762655148694</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T18:13:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B6AD,6,1.0.0.787,1,75,0.433012702,2,96.3,0.188852575,1,89.74,143.929,1582530546,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 18:13,13:13:42,3.0.3.82,A,0,4,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,8,4,,0,0,1,S,0,0,TrialProc,TrialList,1,4,Keyboard,0,19,70315,514,4,515,70830,8,2,8,Target,441
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T18:13:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13762655148694</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T18:13:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B6AD,6,1.0.0.787,1,75,0.433012702,2,96.3,0.188852575,1,89.74,143.929,1582530546,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 18:13,13:13:42,3.0.3.82,A,0,4,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,9,1,,0,0,4,k,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,73350,513,1,523,73873,9,2,9,NonTarget,110
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T18:13:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13762655148694</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T18:13:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B6AD,6,1.0.0.787,1,75,0.433012702,2,96.3,0.188852575,1,89.74,143.929,1582530546,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 18:13,13:13:42,3.0.3.82,A,0,4,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,10,1,,0,0,4,P,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,76384,514,1,477,76861,10,2,10,NonTarget,110
