C:\Users\pindus\Desktop\SITLess_Data\EXP2\COG\DURING\2B\SL003\SL003_2SRT7D1B.edat3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,BlockID,Clock.Information,CogSeq,Condition,DataFile.Basename,Day,ExperimentVersion,Group,Hits.Mean,Hits.StdDevP,NB,NonTargetAcc.Mean,NonTargetAcc.StdDevP,OnebackLureCounter,OverallACC,Participant.RefreshRate,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,TIMING,Total_Ommision_Error,TotalComissionErrors,TwobackLureCounter,Welcome.DEVICE,Block,BlockList,BlockList.Cycle,BlockList.Sample,Procedure[Block],Running[Block],Trial,BlockTrialList,BlockTrialList.Cycle,BlockTrialList.Sample,BreakMessage,BreakMessage.DEVICE,GetReady.DEVICE,Practice,Procedure[Trial],Running[Trial],SubTrial,CorrectResp,CurrentLetters,HitsComissionErrors,HitsOmissions,IncorrectResp,Letter,NonTargetComissionErrors,NonTargetOmissions,Procedure[SubTrial],Running[SubTrial],Stimulus.ACC,Stimulus.CRESP,Stimulus.DEVICE,Stimulus.DurationError,Stimulus.OnsetDelay,Stimulus.OnsetTime,Stimulus.OnsetToOnsetTime,Stimulus.RESP,Stimulus.RT,Stimulus.RTTime,TrialList,TrialList.Cycle,TrialList.Sample,TrialType,Type
NB_DURING,3,1,B,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T14:42:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835936</Frequency><Timestamp dt:dt=""r8"">11490262618615</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T14:42:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SRT,2,SL003_2SRT7D1B,7,1.0.0.778,1,100,0,2,100,0,3,100,60.001,1225660638,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 14:42,9:42:13,3.0.3.82,D1,0,0,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,1,1,,0,0,4,K,0,0,TrialProc,TrialList,1,1,Keyboard,0,30,13467,517,1,415,13882,1,2,1,NonTarget,11
NB_DURING,3,1,B,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T14:42:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835936</Frequency><Timestamp dt:dt=""r8"">11490262618615</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T14:42:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SRT,2,SL003_2SRT7D1B,7,1.0.0.778,1,100,0,2,100,0,3,100,60.001,1225660638,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 14:42,9:42:13,3.0.3.82,D1,0,0,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,2,1,,0,0,4,F,0,0,TrialProc,TrialList,1,1,Keyboard,0,15,16501,516,1,335,16836,2,2,2,NonTarget,11
NB_DURING,3,1,B,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T14:42:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835936</Frequency><Timestamp dt:dt=""r8"">11490262618615</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T14:42:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SRT,2,SL003_2SRT7D1B,7,1.0.0.778,1,100,0,2,100,0,3,100,60.001,1225660638,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 14:42,9:42:13,3.0.3.82,D1,0,0,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,3,1,,0,0,4,C,0,0,TrialProc,TrialList,1,1,Keyboard,0,15,19534,517,1,394,19928,3,2,3,NonTarget,11
NB_DURING,3,1,B,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T14:42:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835936</Frequency><Timestamp dt:dt=""r8"">11490262618615</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T14:42:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SRT,2,SL003_2SRT7D1B,7,1.0.0.778,1,100,0,2,100,0,3,100,60.001,1225660638,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 14:42,9:42:13,3.0.3.82,D1,0,0,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,4,4,,0,0,1,F,0,0,TrialProc,TrialList,1,4,Keyboard,0,31,22584,517,4,715,23299,4,2,4,Target,44
NB_DURING,3,1,B,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T14:42:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835936</Frequency><Timestamp dt:dt=""r8"">11490262618615</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T14:42:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SRT,2,SL003_2SRT7D1B,7,1.0.0.778,1,100,0,2,100,0,3,100,60.001,1225660638,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 14:42,9:42:13,3.0.3.82,D1,0,0,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,5,1,,0,0,4,t,0,0,TrialProc,TrialList,1,1,Keyboard,0,14,25617,517,1,395,26012,5,2,5,NonTarget,11
NB_DURING,3,1,B,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T14:42:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835936</Frequency><Timestamp dt:dt=""r8"">11490262618615</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T14:42:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SRT,2,SL003_2SRT7D1B,7,1.0.0.778,1,100,0,2,100,0,3,100,60.001,1225660638,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 14:42,9:42:13,3.0.3.82,D1,0,0,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,6,1,,0,0,4,K,0,0,TrialProc,TrialList,1,1,Keyboard,0,15,28651,516,1,408,29059,6,2,6,NonTarget,11
NB_DURING,3,1,B,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T14:42:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835936</Frequency><Timestamp dt:dt=""r8"">11490262618615</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T14:42:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SRT,2,SL003_2SRT7D1B,7,1.0.0.778,1,100,0,2,100,0,3,100,60.001,1225660638,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 14:42,9:42:13,3.0.3.82,D1,0,0,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,7,1,,0,0,4,B,0,0,TrialProc,TrialList,1,1,Keyboard,0,15,31684,517,1,404,32088,7,2,7,NonTarget,11
NB_DURING,3,1,B,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T14:42:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835936</Frequency><Timestamp dt:dt=""r8"">11490262618615</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T14:42:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SRT,2,SL003_2SRT7D1B,7,1.0.0.778,1,100,0,2,100,0,3,100,60.001,1225660638,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 14:42,9:42:13,3.0.3.82,D1,0,0,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,8,1,,0,0,4,T,0,0,TrialProc,TrialList,1,1,Keyboard,0,14,34717,517,1,619,35336,8,2,8,NonTarget,11
NB_DURING,3,1,B,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T14:42:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835936</Frequency><Timestamp dt:dt=""r8"">11490262618615</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T14:42:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SRT,2,SL003_2SRT7D1B,7,1.0.0.778,1,100,0,2,100,0,3,100,60.001,1225660638,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 14:42,9:42:13,3.0.3.82,D1,0,0,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,9,1,,0,0,4,t,0,0,TrialProc,TrialList,1,1,Keyboard,0,15,37751,517,1,415,38166,9,2,9,NonTarget,11
NB_DURING,3,1,B,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T14:42:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2835936</Frequency><Timestamp dt:dt=""r8"">11490262618615</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T14:42:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SRT,2,SL003_2SRT7D1B,7,1.0.0.778,1,100,0,2,100,0,3,100,60.001,1225660638,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 14:42,9:42:13,3.0.3.82,D1,0,0,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,10,4,,0,0,1,T,0,0,TrialProc,TrialList,1,4,Keyboard,0,14,40784,517,4,330,41114,10,2,10,Target,44
