C:\Users\pindus\Desktop\SITLess_Data\EXP2\COG\POST\2B\SL003\SL003_2B7AC.edat3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,BlockID,Clock.Information,Condition,DataFile.Basename,Day,ExperimentVersion,Group,Hits.Mean,Hits.StdDevP,NB,NonTargetAcc.Mean,NonTargetAcc.StdDevP,OnebackLureCounter,OverallACC,Participant.RefreshRate,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Timing,Total_Ommision_Error,TotalComissionErrors,TwobackLureCounter,Welcome.DEVICE,Block,BlockList,BlockList.Cycle,BlockList.Sample,Procedure[Block],Running[Block],Trial,BlockTrialList,BlockTrialList.Cycle,BlockTrialList.Sample,BreakMessage,BreakMessage.DEVICE,GetReady.DEVICE,Practice,Procedure[Trial],Running[Trial],SubTrial,CorrectResp,CurrentLetters,HitsComissionErrors,HitsOmissions,IncorrectResp,Letter,NonTargetComissionErrors,NonTargetOmissions,Procedure[SubTrial],Running[SubTrial],Stimulus.ACC,Stimulus.CRESP,Stimulus.DEVICE,Stimulus.DurationError,Stimulus.OnsetDelay,Stimulus.OnsetTime,Stimulus.OnsetToOnsetTime,Stimulus.RESP,Stimulus.RT,Stimulus.RTTime,TrialList,TrialList.Cycle,TrialList.Sample,TrialType,Type
NB_update,3,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T17:42:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18927696569916</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T17:42:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7AC,7,1.0.0.787,1,41.67,0.493006649,2,92.59,0.2618914,2,76.92,143.927,-221655741,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 17:42,12:42:12,3.0.3.82,A,1,8,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,1,1,,0,0,4,X,0,0,TrialProc,TrialList,1,1,Keyboard,0,23,49917,514,1,604,50521,1,2,1,NonTarget,110
NB_update,3,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T17:42:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18927696569916</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T17:42:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7AC,7,1.0.0.787,1,41.67,0.493006649,2,92.59,0.2618914,2,76.92,143.927,-221655741,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 17:42,12:42:12,3.0.3.82,A,1,8,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,2,1,,0,0,4,B,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,52952,514,1,336,53288,2,2,2,NonTarget,110
NB_update,3,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T17:42:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18927696569916</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T17:42:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7AC,7,1.0.0.787,1,41.67,0.493006649,2,92.59,0.2618914,2,76.92,143.927,-221655741,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 17:42,12:42:12,3.0.3.82,A,1,8,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,3,1,,0,0,4,k,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,55987,513,1,569,56556,3,2,3,NonTarget,110
NB_update,3,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T17:42:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18927696569916</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T17:42:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7AC,7,1.0.0.787,1,41.67,0.493006649,2,92.59,0.2618914,2,76.92,143.927,-221655741,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 17:42,12:42:12,3.0.3.82,A,1,8,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,4,4,,0,0,1,B,0,0,TrialProc,TrialList,1,4,Keyboard,0,19,59021,514,4,685,59706,4,2,4,Target,440
NB_update,3,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T17:42:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18927696569916</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T17:42:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7AC,7,1.0.0.787,1,41.67,0.493006649,2,92.59,0.2618914,2,76.92,143.927,-221655741,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 17:42,12:42:12,3.0.3.82,A,1,8,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,5,1,,0,0,4,S,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,62056,514,1,474,62530,5,2,5,NonTarget,110
NB_update,3,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T17:42:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18927696569916</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T17:42:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7AC,7,1.0.0.787,1,41.67,0.493006649,2,92.59,0.2618914,2,76.92,143.927,-221655741,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 17:42,12:42:12,3.0.3.82,A,1,8,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,6,1,,0,0,4,K,0,0,TrialProc,TrialList,1,1,Keyboard,0,18,65090,514,1,438,65528,6,2,6,NonTarget,113
NB_update,3,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T17:42:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18927696569916</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T17:42:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7AC,7,1.0.0.787,1,41.67,0.493006649,2,92.59,0.2618914,2,76.92,143.927,-221655741,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 17:42,12:42:12,3.0.3.82,A,1,8,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,7,1,,0,0,4,p,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,68125,514,1,476,68601,7,2,7,NonTarget,110
NB_update,3,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T17:42:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18927696569916</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T17:42:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7AC,7,1.0.0.787,1,41.67,0.493006649,2,92.59,0.2618914,2,76.92,143.927,-221655741,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 17:42,12:42:12,3.0.3.82,A,1,8,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,8,1,,0,0,4,r,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,71160,514,1,479,71639,8,2,8,NonTarget,110
NB_update,3,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T17:42:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18927696569916</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T17:42:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7AC,7,1.0.0.787,1,41.67,0.493006649,2,92.59,0.2618914,2,76.92,143.927,-221655741,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 17:42,12:42:12,3.0.3.82,A,1,8,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,9,1,,0,0,4,R,1,0,TrialProc,TrialList,0,1,Keyboard,0,18,74194,514,4,588,74782,9,2,9,NonTarget,111
NB_update,3,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T17:42:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18927696569916</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T17:42:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7AC,7,1.0.0.787,1,41.67,0.493006649,2,92.59,0.2618914,2,76.92,143.927,-221655741,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 17:42,12:42:12,3.0.3.82,A,1,8,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,10,1,,0,0,4,t,1,0,TrialProc,TrialList,1,1,Keyboard,0,19,77229,514,1,627,77856,10,2,10,NonTarget,110
