C:\Users\pindus\Desktop\SITLess_Data\EXP2\COG\POST\2B\SL003\SL003_2B7AD.edat3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,BlockID,Clock.Information,Condition,DataFile.Basename,Day,ExperimentVersion,Group,Hits.Mean,Hits.StdDevP,NB,NonTargetAcc.Mean,NonTargetAcc.StdDevP,OnebackLureCounter,OverallACC,Participant.RefreshRate,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Timing,Total_Ommision_Error,TotalComissionErrors,TwobackLureCounter,Welcome.DEVICE,Block,BlockList,BlockList.Cycle,BlockList.Sample,Procedure[Block],Running[Block],Trial,BlockTrialList,BlockTrialList.Cycle,BlockTrialList.Sample,BreakMessage,BreakMessage.DEVICE,GetReady.DEVICE,Practice,Procedure[Trial],Running[Trial],SubTrial,CorrectResp,CurrentLetters,HitsComissionErrors,HitsOmissions,IncorrectResp,Letter,NonTargetComissionErrors,NonTargetOmissions,Procedure[SubTrial],Running[SubTrial],Stimulus.ACC,Stimulus.CRESP,Stimulus.DEVICE,Stimulus.DurationError,Stimulus.OnsetDelay,Stimulus.OnsetTime,Stimulus.OnsetToOnsetTime,Stimulus.RESP,Stimulus.RT,Stimulus.RTTime,TrialList,TrialList.Cycle,TrialList.Sample,TrialType,Type
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T17:45:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18929462184075</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T17:45:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7AD,7,1.0.0.787,1,83.33,0.372677996,2,96.3,0.188852575,2,92.31,143.955,1543866567,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 17:45,12:45:08,3.0.3.82,A,1,2,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,1,1,,0,0,4,F,0,0,TrialProc,TrialList,1,1,Keyboard,0,28,45593,514,1,608,46201,1,2,1,NonTarget,110
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T17:45:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18929462184075</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T17:45:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7AD,7,1.0.0.787,1,83.33,0.372677996,2,96.3,0.188852575,2,92.31,143.955,1543866567,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 17:45,12:45:08,3.0.3.82,A,1,2,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,2,1,,0,0,4,x,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,48628,514,1,302,48930,2,2,2,NonTarget,110
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T17:45:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18929462184075</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T17:45:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7AD,7,1.0.0.787,1,83.33,0.372677996,2,96.3,0.188852575,2,92.31,143.955,1543866567,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 17:45,12:45:08,3.0.3.82,A,1,2,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,3,1,,0,0,4,T,0,0,TrialProc,TrialList,1,1,Keyboard,0,18,51662,514,1,382,52044,3,2,3,NonTarget,110
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T17:45:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18929462184075</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T17:45:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7AD,7,1.0.0.787,1,83.33,0.372677996,2,96.3,0.188852575,2,92.31,143.955,1543866567,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 17:45,12:45:08,3.0.3.82,A,1,2,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,4,4,,1,0,1,x,0,0,TrialProc,TrialList,0,4,Keyboard,0,19,54697,514,1,856,55553,4,2,4,Target,440
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T17:45:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18929462184075</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T17:45:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7AD,7,1.0.0.787,1,83.33,0.372677996,2,96.3,0.188852575,2,92.31,143.955,1543866567,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 17:45,12:45:08,3.0.3.82,A,1,2,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,5,1,,1,0,4,C,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,57732,513,1,568,58300,5,2,5,NonTarget,110
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T17:45:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18929462184075</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T17:45:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7AD,7,1.0.0.787,1,83.33,0.372677996,2,96.3,0.188852575,2,92.31,143.955,1543866567,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 17:45,12:45:08,3.0.3.82,A,1,2,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,6,1,,1,0,4,B,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,60766,514,1,433,61199,6,2,6,NonTarget,110
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T17:45:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18929462184075</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T17:45:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7AD,7,1.0.0.787,1,83.33,0.372677996,2,96.3,0.188852575,2,92.31,143.955,1543866567,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 17:45,12:45:08,3.0.3.82,A,1,2,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,7,1,,1,0,4,x,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,63801,514,1,397,64198,7,2,7,NonTarget,113
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T17:45:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18929462184075</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T17:45:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7AD,7,1.0.0.787,1,83.33,0.372677996,2,96.3,0.188852575,2,92.31,143.955,1543866567,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 17:45,12:45:08,3.0.3.82,A,1,2,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,8,1,,1,0,4,p,0,0,TrialProc,TrialList,1,1,Keyboard,0,18,66835,514,1,445,67280,8,2,8,NonTarget,110
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T17:45:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18929462184075</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T17:45:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7AD,7,1.0.0.787,1,83.33,0.372677996,2,96.3,0.188852575,2,92.31,143.955,1543866567,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 17:45,12:45:08,3.0.3.82,A,1,2,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,9,1,,1,0,4,T,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,69870,514,1,541,70411,9,2,9,NonTarget,110
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T17:45:08Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18929462184075</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T17:45:08Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7AD,7,1.0.0.787,1,83.33,0.372677996,2,96.3,0.188852575,2,92.31,143.955,1543866567,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 17:45,12:45:08,3.0.3.82,A,1,2,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,10,1,,1,0,4,x,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,72905,514,1,409,73314,10,2,10,NonTarget,113
