C:\Users\pindus\Desktop\SITLess_Data\EXP2\COG\PRE\2B\SL003\SL003_2B7BD.edat3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,BlockID,Clock.Information,Condition,DataFile.Basename,Day,ExperimentVersion,Group,Hits.Mean,Hits.StdDevP,NB,NonTargetAcc.Mean,NonTargetAcc.StdDevP,OnebackLureCounter,OverallACC,Participant.RefreshRate,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Timing,Total_Ommision_Error,TotalComissionErrors,TwobackLureCounter,Welcome.DEVICE,Block,BlockList,BlockList.Cycle,BlockList.Sample,Procedure[Block],Running[Block],Trial,BlockTrialList,BlockTrialList.Cycle,BlockTrialList.Sample,BreakMessage,BreakMessage.DEVICE,GetReady.DEVICE,Practice,Procedure[Trial],Running[Trial],SubTrial,CorrectResp,CurrentLetters,HitsComissionErrors,HitsOmissions,IncorrectResp,Letter,NonTargetComissionErrors,NonTargetOmissions,Procedure[SubTrial],Running[SubTrial],Stimulus.ACC,Stimulus.CRESP,Stimulus.DEVICE,Stimulus.DurationError,Stimulus.OnsetDelay,Stimulus.OnsetTime,Stimulus.OnsetToOnsetTime,Stimulus.RESP,Stimulus.RT,Stimulus.RTTime,TrialList,TrialList.Cycle,TrialList.Sample,TrialType,Type
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:35:35Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18779733244566</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:35:35Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BD,7,1.0.0.787,1,75,0.433012702,2,85.19,0.35524678,3,82.05,143.927,2138958278,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:35,8:35:35,3.0.3.82,B,0,7,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,1,1,,0,0,4,t,0,0,TrialProc,TrialList,1,1,Keyboard,0,25,50261,514,1,410,50671,1,2,1,NonTarget,110
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:35:35Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18779733244566</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:35:35Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BD,7,1.0.0.787,1,75,0.433012702,2,85.19,0.35524678,3,82.05,143.927,2138958278,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:35,8:35:35,3.0.3.82,B,0,7,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,2,1,,0,0,4,s,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,53296,514,1,324,53620,2,2,2,NonTarget,110
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:35:35Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18779733244566</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:35:35Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BD,7,1.0.0.787,1,75,0.433012702,2,85.19,0.35524678,3,82.05,143.927,2138958278,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:35,8:35:35,3.0.3.82,B,0,7,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,3,1,,0,0,4,r,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,56331,514,1,574,56905,3,2,3,NonTarget,110
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:35:35Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18779733244566</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:35:35Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BD,7,1.0.0.787,1,75,0.433012702,2,85.19,0.35524678,3,82.05,143.927,2138958278,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:35,8:35:35,3.0.3.82,B,0,7,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,4,4,,0,0,1,s,0,0,TrialProc,TrialList,1,4,Keyboard,0,18,59365,514,4,581,59946,4,2,4,Target,440
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:35:35Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18779733244566</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:35:35Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BD,7,1.0.0.787,1,75,0.433012702,2,85.19,0.35524678,3,82.05,143.927,2138958278,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:35,8:35:35,3.0.3.82,B,0,7,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,5,4,,0,0,1,R,0,0,TrialProc,TrialList,1,4,Keyboard,0,19,62400,514,4,556,62956,5,2,5,Target,441
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:35:35Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18779733244566</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:35:35Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BD,7,1.0.0.787,1,75,0.433012702,2,85.19,0.35524678,3,82.05,143.927,2138958278,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:35,8:35:35,3.0.3.82,B,0,7,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,6,1,,0,0,4,C,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,65435,513,1,590,66025,6,2,6,NonTarget,110
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:35:35Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18779733244566</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:35:35Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BD,7,1.0.0.787,1,75,0.433012702,2,85.19,0.35524678,3,82.05,143.927,2138958278,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:35,8:35:35,3.0.3.82,B,0,7,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,7,1,,0,0,4,C,1,0,TrialProc,TrialList,0,1,Keyboard,0,19,68469,514,4,677,69146,7,2,7,NonTarget,111
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:35:35Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18779733244566</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:35:35Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BD,7,1.0.0.787,1,75,0.433012702,2,85.19,0.35524678,3,82.05,143.927,2138958278,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:35,8:35:35,3.0.3.82,B,0,7,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,8,1,,0,0,4,f,1,0,TrialProc,TrialList,1,1,Keyboard,0,19,71504,514,1,368,71872,8,2,8,NonTarget,110
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:35:35Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18779733244566</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:35:35Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BD,7,1.0.0.787,1,75,0.433012702,2,85.19,0.35524678,3,82.05,143.927,2138958278,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:35,8:35:35,3.0.3.82,B,0,7,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,9,1,,0,0,4,f,2,0,TrialProc,TrialList,0,1,Keyboard,0,18,74538,514,4,669,75207,9,2,9,NonTarget,111
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:35:35Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18779733244566</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:35:35Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BD,7,1.0.0.787,1,75,0.433012702,2,85.19,0.35524678,3,82.05,143.927,2138958278,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:35,8:35:35,3.0.3.82,B,0,7,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,10,1,,0,0,4,r,2,0,TrialProc,TrialList,1,1,Keyboard,0,19,77573,514,1,413,77986,10,2,10,NonTarget,110
