C:\Users\pindus\Desktop\SITLess_Data\EXP2\COG\PRE\2B\SL003\SL003_2B7BE.edat3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,BlockID,Clock.Information,Condition,DataFile.Basename,Day,ExperimentVersion,Group,Hits.Mean,Hits.StdDevP,NB,NonTargetAcc.Mean,NonTargetAcc.StdDevP,OnebackLureCounter,OverallACC,Participant.RefreshRate,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Timing,Total_Ommision_Error,TotalComissionErrors,TwobackLureCounter,Welcome.DEVICE,Block,BlockList,BlockList.Cycle,BlockList.Sample,Procedure[Block],Running[Block],Trial,BlockTrialList,BlockTrialList.Cycle,BlockTrialList.Sample,BreakMessage,BreakMessage.DEVICE,GetReady.DEVICE,Practice,Procedure[Trial],Running[Trial],SubTrial,CorrectResp,CurrentLetters,HitsComissionErrors,HitsOmissions,IncorrectResp,Letter,NonTargetComissionErrors,NonTargetOmissions,Procedure[SubTrial],Running[SubTrial],Stimulus.ACC,Stimulus.CRESP,Stimulus.DEVICE,Stimulus.DurationError,Stimulus.OnsetDelay,Stimulus.OnsetTime,Stimulus.OnsetToOnsetTime,Stimulus.RESP,Stimulus.RT,Stimulus.RTTime,TrialList,TrialList.Cycle,TrialList.Sample,TrialType,Type
NB_update,3,1,E,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:39:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18782032387031</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:39:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BE,7,1.0.0.787,1,100,0,2,96.3,0.188852575,3,97.44,143.944,142960492,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:39,8:39:25,3.0.3.82,B,1,0,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,1,1,,0,0,4,B,0,1,TrialProc,TrialList,0,1,Keyboard,0,26,37604,514,,0,0,1,2,1,NonTarget,110
NB_update,3,1,E,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:39:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18782032387031</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:39:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BE,7,1.0.0.787,1,100,0,2,96.3,0.188852575,3,97.44,143.944,142960492,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:39,8:39:25,3.0.3.82,B,1,0,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,2,1,,0,0,4,P,0,1,TrialProc,TrialList,1,1,Keyboard,0,18,40638,514,1,486,41124,2,2,2,NonTarget,110
NB_update,3,1,E,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:39:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18782032387031</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:39:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BE,7,1.0.0.787,1,100,0,2,96.3,0.188852575,3,97.44,143.944,142960492,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:39,8:39:25,3.0.3.82,B,1,0,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,3,1,,0,0,4,F,0,1,TrialProc,TrialList,1,1,Keyboard,0,19,43673,514,1,329,44002,3,2,3,NonTarget,110
NB_update,3,1,E,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:39:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18782032387031</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:39:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BE,7,1.0.0.787,1,100,0,2,96.3,0.188852575,3,97.44,143.944,142960492,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:39,8:39:25,3.0.3.82,B,1,0,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,4,4,,0,0,1,P,0,1,TrialProc,TrialList,1,4,Keyboard,0,19,46708,513,4,507,47215,4,2,4,Target,440
NB_update,3,1,E,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:39:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18782032387031</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:39:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BE,7,1.0.0.787,1,100,0,2,96.3,0.188852575,3,97.44,143.944,142960492,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:39,8:39:25,3.0.3.82,B,1,0,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,5,1,,0,0,4,P,0,1,TrialProc,TrialList,1,1,Keyboard,0,19,49742,514,1,1018,50760,5,2,5,NonTarget,111
NB_update,3,1,E,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:39:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18782032387031</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:39:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BE,7,1.0.0.787,1,100,0,2,96.3,0.188852575,3,97.44,143.944,142960492,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:39,8:39:25,3.0.3.82,B,1,0,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,6,4,,0,0,1,p,0,1,TrialProc,TrialList,1,4,Keyboard,0,19,52777,514,4,531,53308,6,2,6,Target,440
NB_update,3,1,E,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:39:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18782032387031</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:39:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BE,7,1.0.0.787,1,100,0,2,96.3,0.188852575,3,97.44,143.944,142960492,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:39,8:39:25,3.0.3.82,B,1,0,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,7,1,,0,0,4,s,0,1,TrialProc,TrialList,1,1,Keyboard,0,18,55811,514,1,464,56275,7,2,7,NonTarget,110
NB_update,3,1,E,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:39:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18782032387031</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:39:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BE,7,1.0.0.787,1,100,0,2,96.3,0.188852575,3,97.44,143.944,142960492,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:39,8:39:25,3.0.3.82,B,1,0,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,8,4,,0,0,1,P,0,1,TrialProc,TrialList,1,4,Keyboard,0,19,58846,514,4,658,59504,8,2,8,Target,440
NB_update,3,1,E,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:39:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18782032387031</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:39:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BE,7,1.0.0.787,1,100,0,2,96.3,0.188852575,3,97.44,143.944,142960492,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:39,8:39:25,3.0.3.82,B,1,0,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,9,4,,0,0,1,s,0,1,TrialProc,TrialList,1,4,Keyboard,0,19,61881,514,4,687,62568,9,2,9,Target,441
NB_update,3,1,E,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:39:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18782032387031</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:39:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BE,7,1.0.0.787,1,100,0,2,96.3,0.188852575,3,97.44,143.944,142960492,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:39,8:39:25,3.0.3.82,B,1,0,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,10,1,,0,0,4,r,0,1,TrialProc,TrialList,1,1,Keyboard,0,18,64915,514,1,445,65360,10,2,10,NonTarget,110
